id,branchId,flowerId,sourceOrderId,quantity,shippedAt
1,1,1,1,40,2025-07-29
2,2,1,2,67,2025-07-29
3,3,1,3,17,2025-07-29
4,4,1,4,22,2025-07-29
5,1,2,5,24,2025-07-29
6,2,2,6,31,2025-07-29
7,3,2,7,15,2025-07-29
8,4,2,8,32,2025-07-29
9,1,3,9,20,2025-07-29
10,2,3,10,33,2025-07-29
11,3,3,11,9,2025-07-29
12,4,3,12,51,2025-07-29
13,1,4,13,35,2025-07-29
14,2,4,14,14,2025-07-29
15,3,4,15,28,2025-07-29
16,4,4,16,39,2025-07-29
17,1,5,17,38,2025-07-29
18,2,5,18,23,2025-07-29
19,3,5,19,17,2025-07-29
20,4,5,20,59,2025-07-29
21,1,6,21,37,2025-07-29
22,2,6,22,14,2025-07-29
23,3,6,23,22,2025-07-29
24,4,6,24,33,2025-07-29
25,1,7,25,67,2025-07-29
26,2,7,26,21,2025-07-29
27,3,7,27,39,2025-07-29
28,4,7,28,34,2025-07-29
29,1,8,29,58,2025-07-29
30,2,8,30,20,2025-07-29
31,3,8,31,36,2025-07-29
32,4,8,32,21,2025-07-29
33,1,9,33,65,2025-07-29
34,2,9,34,21,2025-07-29
35,3,9,35,13,2025-07-29
36,4,9,36,19,2025-07-29
37,1,10,37,52,2025-07-29
38,2,10,38,48,2025-07-29
39,3,10,39,22,2025-07-29
40,4,10,40,20,2025-07-29
41,1,11,41,20,2025-07-29
42,2,11,42,35,2025-07-29
43,3,11,43,12,2025-07-29
44,4,11,44,17,2025-07-29
45,1,12,45,49,2025-07-29
46,2,12,46,30,2025-07-29
47,3,12,47,12,2025-07-29
48,4,12,48,17,2025-07-29
49,1,13,49,23,2025-07-29
50,2,13,50,51,2025-07-29
51,3,13,51,19,2025-07-29
52,4,13,52,42,2025-07-29
53,1,14,53,37,2025-07-29
54,2,14,54,39,2025-07-29
55,3,14,55,25,2025-07-29
56,4,14,56,37,2025-07-29
57,1,15,57,27,2025-07-29
58,2,15,58,26,2025-07-29
59,3,15,59,13,2025-07-29
60,4,15,60,33,2025-07-29
61,1,16,61,46,2025-07-29
62,2,16,62,20,2025-07-29
63,3,16,63,16,2025-07-29
64,4,16,64,27,2025-07-29
65,1,17,65,26,2025-07-29
66,2,17,66,51,2025-07-29
