id,dailySaleId,flowerId,soldQuantity,damagedQuantity
1,1,1,87,5
2,1,2,48,2
3,1,3,61,1
4,1,4,45,2
5,1,5,97,1
6,1,6,41,0
7,1,7,40,1
8,1,8,39,1
9,1,9,71,3
10,1,10,32,0
11,1,11,40,1
12,1,12,102,4
13,1,13,58,1
14,1,14,46,3
15,1,15,83,4
16,1,16,57,3
17,1,17,75,1
18,1,18,42,1
19,1,19,34,1
20,1,20,48,3
21,1,21,67,4
22,1,22,51,1
23,1,23,122,2
24,1,24,36,1
25,1,25,59,3
26,1,26,74,2
27,1,27,46,1
28,1,28,101,4
29,1,29,28,1
30,1,30,125,2
31,1,31,83,4
32,1,32,38,1
33,1,33,84,2
34,1,34,30,1
35,1,35,37,2
36,2,1,25,1
37,2,2,61,3
38,2,3,20,1
39,2,4,14,1
40,2,5,17,0
41,2,6,52,2
42,2,7,34,2
43,2,8,43,2
44,2,9,105,2
45,2,10,24,1
46,2,11,54,1
47,2,12,40,1
48,2,13,65,3
49,2,14,53,2
50,2,15,80,2
51,2,16,23,1
52,2,17,34,2
53,2,18,37,1
54,2,19,56,3
55,2,20,39,1
56,2,21,27,1
57,2,22,74,4
58,2,23,41,1
59,2,24,38,2
60,2,25,75,2
61,2,26,88,2
62,2,27,64,1
63,2,28,30,0
64,2,29,82,1
65,2,30,43,2
66,2,31,52,3
67,2,32,50,1
68,2,33,66,1
69,2,34,33,1
70,2,35,58,1
71,3,1,76,1
72,3,2,45,1
73,3,3,46,2
74,3,4,34,1
75,3,5,25,0
76,3,6,27,1
77,3,7,28,1
78,3,8,31,1
79,3,9,17,1
80,3,10,13,1
81,3,11,22,1
82,3,12,37,1
83,3,13,25,0
84,3,14,13,1
85,3,15,31,0
86,3,16,28,1
87,3,17,58,3
88,3,18,36,1
89,3,19,33,1
90,3,20,42,1
91,3,21,42,2
92,3,22,24,1
93,3,23,44,2
94,3,24,26,1
95,3,25,82,4
96,3,26,45,2
97,3,27,38,2
98,3,28,15,1
99,3,29,24,1
100,3,30,24,1
101,3,31,20,0
102,3,32,37,2
103,3,33,46,1
104,3,34,48,2
105,3,35,33,2
106,4,1,27,1
107,4,2,57,3
108,4,3,54,2
109,4,4,56,3
110,4,5,87,3
111,4,6,41,1
112,4,7,33,2
113,4,8,34,1
114,4,9,45,1
115,4,10,71,4
116,4,11,52,2
117,4,12,33,1
118,4,13,60,1
119,4,14,44,3
120,4,15,57,2
121,4,16,49,2
122,4,17,30,1
123,4,18,47,1
124,4,19,31,1
125,4,20,51,2
126,4,21,93,3
127,4,22,21,1
128,4,23,74,1
129,4,24,37,2
130,4,25,62,1
131,4,26,39,1
132,4,27,20,1
133,4,28,47,1
134,4,29,60,3
135,4,30,56,2
136,4,31,67,2
137,4,32,85,2
138,4,33,77,2
139,4,34,47,1
140,4,35,56,2
141,5,1,50,1
142,5,2,102,4
143,5,3,104,2
144,5,4,100,3
145,5,5,72,3
146,5,6,59,2
147,5,7,52,3
148,5,8,140,7
149,5,9,87,4
150,5,10,83,4
151,5,11,92,2
152,5,12,64,1
153,5,13,72,3
154,5,14,218,11
155,5,15,39,1
156,5,16,46,1
157,5,17,31,1
158,5,18,90,2
159,5,19,47,1
160,5,20,67,3
161,5,21,56,2
162,5,22,71,3
163,5,23,31,0
164,5,24,153,2
165,5,25,34,2
166,5,26,129,2
167,5,27,41,1
168,5,28,63,1
169,5,29,60,3
170,5,30,114,4
171,5,31,60,1
172,5,32,91,5
173,5,33,25,1
174,5,34,92,3
175,5,35,96,2
176,6,1,98,6
177,6,2,57,1
178,6,3,51,1
179,6,4,26,1
180,6,5,83,1
181,6,6,109,3
182,6,7,50,2
183,6,8,36,1
184,6,9,16,1
185,6,10,26,1
186,6,11,45,1
187,6,12,84,3
188,6,13,37,1
189,6,14,72,2
190,6,15,43,2
191,6,16,24,0
192,6,17,40,2
193,6,18,64,1
194,6,19,29,1
195,6,20,117,6
196,6,21,45,1
197,6,22,59,1
198,6,23,32,2
199,6,24,49,2
200,6,25,62,4
201,6,26,38,1
202,6,27,74,2
203,6,28,44,1
204,6,29,41,2
205,6,30,39,1
206,6,31,48,3
207,6,32,57,3
208,6,33,83,5
209,6,34,49,1
210,6,35,68,1
211,7,1,58,2
212,7,2,24,1
