id,distributionOrderId,flowerId,quantity
1,1,1,41
2,2,1,70
3,3,1,17
4,4,1,22
5,5,2,24
6,6,2,33
7,7,2,15
8,8,2,33
9,9,3,20
10,10,3,34
11,11,3,9
12,12,3,52
13,13,4,35
14,14,4,14
15,15,4,29
16,16,4,40
17,17,5,38
18,18,5,23
19,19,5,17
20,20,5,61
21,21,6,37
22,22,6,14
23,23,6,22
24,24,6,33
25,25,7,68
26,26,7,21
27,27,7,39
28,28,7,35
29,29,8,59
30,30,8,20
31,31,8,36
32,32,8,21
33,33,9,67
34,34,9,21
35,35,9,13
36,36,9,19
37,37,10,54
38,38,10,48
39,39,10,22
40,40,10,20
41,41,11,20
42,42,11,36
43,43,11,12
44,44,11,17
45,45,12,50
46,46,12,30
47,47,12,12
48,48,12,17
49,49,13,24
50,50,13,51
51,51,13,19
52,52,13,42
53,53,14,37
54,54,14,40
55,55,14,25
56,56,14,39
57,57,15,27
58,58,15,27
59,59,15,13
60,60,15,34
61,61,16,46
62,62,16,20
63,63,16,16
64,64,16,29
65,65,17,27
66,66,17,51
67,67,17,19
68,68,17,22
69,69,18,52
70,70,18,16
71,71,18,18
72,72,18,34
73,73,19,31
74,74,19,34
75,75,19,32
76,76,19,26
77,77,20,37
78,78,20,9
79,79,20,15
80,80,20,47
81,81,21,36
82,82,21,16
83,83,21,33
84,84,21,42
85,85,22,64
86,86,22,25
87,87,22,22
88,88,22,17
89,89,23,54
90,90,23,29
91,91,23,33
92,92,23,19
93,93,24,38
94,94,24,21
95,95,24,19
96,96,24,22
97,97,25,17
98,98,25,11
99,99,25,24
100,100,25,34
101,101,26,18
102,102,26,35
103,103,26,41
104,104,26,41
105,105,27,57
106,106,27,43
107,107,27,16
108,108,27,50
109,109,28,21
110,110,28,27
111,111,28,26
112,112,28,25
113,113,29,42
114,114,29,39
115,115,29,17
116,116,29,35
117,117,30,70
118,118,30,24
119,119,30,13
120,120,30,67
121,121,31,35
122,122,31,28
123,123,31,19
124,124,31,34
125,125,32,30
126,126,32,13
127,127,32,22
128,128,32,61
129,129,33,58
130,130,33,39
131,131,33,20
132,132,33,45
133,133,34,43
134,134,34,25
135,135,34,22
136,136,34,32
137,137,35,43
138,138,35,39
139,139,35,23
140,140,35,37
141,141,1,50
142,142,1,26
143,143,1,24
144,144,1,24
145,145,2,31
146,146,2,40
147,147,2,48
148,148,2,24
149,149,3,73
150,150,3,33
151,151,3,23
152,152,3,27
153,153,4,46
154,154,4,37
155,155,4,27
156,156,4,37
157,157,5,95
158,158,5,25
159,159,5,23
160,160,5,45
161,161,6,34
162,162,6,16
163,163,6,15
164,164,6,46
165,165,7,62
166,166,7,33
167,167,7,8
168,168,7,22
169,169,8,41
170,170,8,16
171,171,8,18
172,172,8,17
173,173,9,31
174,174,9,21
175,175,9,27
176,176,9,31
177,177,10,50
178,178,10,51
179,179,10,19
180,180,10,39
181,181,11,34
182,182,11,32
183,183,11,18
184,184,11,31
185,185,12,58
186,186,12,35
187,187,12,34
188,188,12,46
189,189,13,53
190,190,13,24
191,191,13,35
192,192,13,19
193,193,14,44
194,194,14,35
195,195,14,16
196,196,14,26
197,197,15,45
198,198,15,57
199,199,15,14
200,200,15,20
201,201,16,59
202,202,16,48
203,203,16,28
204,204,16,57
205,205,17,37
206,206,17,17
207,207,17,26
208,208,17,37
209,209,18,48
210,210,18,44
211,211,18,32
212,212,18,16
213,213,19,41
214,214,19,28
215,215,19,39
216,216,19,20
217,217,20,48
218,218,20,48
219,219,20,16
220,220,20,20
221,221,21,41
222,222,21,33
223,223,21,18
224,224,21,66
225,225,22,61
226,226,22,41
227,227,22,20
228,228,22,31
229,229,23,49
230,230,23,55
231,231,23,12
232,232,23,54
233,233,24,54
234,234,24,7
235,235,24,33
236,236,24,29
237,237,25,62
238,238,25,42
239,239,25,26
240,240,25,56
241,241,26,39
242,242,26,43
243,243,26,27
244,244,26,24
245,245,27,68
246,246,27,39
247,247,27,19
248,248,27,43
249,249,28,13
250,250,28,47
251,251,28,15
252,252,28,43
253,253,29,54
254,254,29,27
255,255,29,23
256,256,29,55
257,257,30,64
258,258,30,28
259,259,30,53
260,260,30,14
261,261,31,14
262,262,31,42
263,263,31,20
264,264,31,32
265,265,32,25
266,266,32,27
267,267,32,19
268,268,32,53
269,269,33,54
270,270,33,27
271,271,33,35
272,272,33,54
273,273,34,57
274,274,34,27
275,275,34,19
276,276,34,47
277,277,35,44
278,278,35,10
279,279,35,24
280,280,35,30
281,281,1,66
282,282,1,37
283,283,1,34
284,284,1,26
285,285,2,63
286,286,2,14
287,287,2,26
288,288,2,27
289,289,3,28
290,290,3,34
291,291,3,21
292,292,3,68
293,293,4,45
294,294,4,31
295,295,4,42
296,296,4,48
297,297,5,80
298,298,5,15
299,299,5,12
300,300,5,76
301,301,6,51
302,302,6,17
303,303,6,44
304,304,6,23
305,305,7,48
306,306,7,37
307,307,7,17
308,308,7,32
309,309,8,71
310,310,8,32
311,311,8,21
312,312,8,45
313,313,9,34
314,314,9,18
315,315,9,32
316,316,9,65
317,317,10,26
318,318,10,40
319,319,10,18
320,320,10,71
321,321,11,23
322,322,11,45
323,323,11,40
324,324,11,47
325,325,12,58
326,326,12,43
327,327,12,25
328,328,12,75
329,329,13,64
330,330,13,37
331,331,13,34
332,332,13,37
333,333,14,50
334,334,14,39
335,335,14,37
336,336,14,52
337,337,15,39
338,338,15,16
339,339,15,48
340,340,15,57
341,341,16,43
342,342,16,22
343,343,16,47
344,344,16,36
345,345,17,49
346,346,17,34
347,347,17,18
348,348,17,42
349,349,18,65
350,350,18,24
351,351,18,30
352,352,18,37
353,353,19,71
354,354,19,34
355,355,19,25
356,356,19,22
357,357,20,62
358,358,20,45
359,359,20,25
360,360,20,49
361,361,21,67
362,362,21,25
363,363,21,38
364,364,21,27
365,365,22,59
366,366,22,58
367,367,22,35
368,368,22,29
369,369,23,91
370,370,23,52
371,371,23,12
372,372,23,39
373,373,24,63
374,374,24,37
375,375,24,34
376,376,24,29
377,377,25,44
378,378,25,18
379,379,25,23
380,380,25,69
381,381,26,63
382,382,26,54
383,383,26,16
384,384,26,30
385,385,27,31
386,386,27,63
387,387,27,42
388,388,27,32
389,389,28,36
390,390,28,24
391,391,28,32
392,392,28,36
393,393,29,39
394,394,29,15
395,395,29,34
396,396,29,55
397,397,30,63
398,398,30,44
399,399,30,30
400,400,30,27
401,401,31,40
402,402,31,57
403,403,31,50
404,404,31,61
405,405,32,61
406,406,32,30
407,407,32,27
408,408,32,49
409,409,33,25
410,410,33,61
411,411,33,45
412,412,33,47
413,413,34,71
414,414,34,22
415,415,34,26
416,416,34,45
417,417,35,50
418,418,35,51
419,419,35,40
420,420,35,57
421,421,1,20
422,422,1,60
423,423,1,40
424,424,1,49
425,425,2,31
426,426,2,65
427,427,2,44
428,428,2,44
429,429,3,96
430,430,3,40
431,431,3,45
432,432,3,81
433,433,4,73
434,434,4,31
435,435,4,20
436,436,4,37
437,437,5,47
438,438,5,42
439,439,5,58
440,440,5,76
441,441,6,50
442,442,6,32
443,443,6,15
444,444,6,65
445,445,7,72
446,446,7,25
447,447,7,28
448,448,7,36
449,449,8,47
450,450,8,61
451,451,8,30
452,452,8,69
453,453,9,94
454,454,9,49
455,455,9,34
456,456,9,36
457,457,10,76
458,458,10,60
459,459,10,47
460,460,10,43
461,461,11,65
462,462,11,41
463,463,11,16
464,464,11,74
465,465,12,60
466,466,12,69
467,467,12,43
468,468,12,38
469,469,13,64
470,470,13,38
471,471,13,41
472,472,13,34
473,473,14,119
474,474,14,24
475,475,14,23
476,476,14,71
477,477,15,72
478,478,15,68
479,479,15,18
480,480,15,75
481,481,16,97
482,482,16,74
483,483,16,29
484,484,16,45
485,485,17,95
486,486,17,44
487,487,17,49
488,488,17,89
489,489,18,54
490,490,18,36
491,491,18,85
492,492,18,68
493,493,19,40
494,494,19,50
495,495,19,30
496,496,19,47
497,497,20,83
498,498,20,62
499,499,20,43
500,500,20,54
501,501,21,98
502,502,21,79
503,503,21,20
504,504,21,38
505,505,22,33
506,506,22,28
507,507,22,30
508,508,22,49
509,509,23,42
510,510,23,64
511,511,23,40
512,512,23,47
513,513,24,51
514,514,24,30
515,515,24,56
516,516,24,54
517,517,25,49
518,518,25,33
519,519,25,38
520,520,25,47
521,521,26,44
522,522,26,65
523,523,26,27
524,524,26,37
525,525,27,61
526,526,27,38
527,527,27,52
528,528,27,76
529,529,28,63
530,530,28,29
531,531,28,46
532,532,28,46
533,533,29,63
534,534,29,76
535,535,29,34
536,536,29,91
537,537,30,48
538,538,30,82
539,539,30,40
540,540,30,37
541,541,31,80
542,542,31,7
543,543,31,25
544,544,31,63
545,545,32,68
546,546,32,115
547,547,32,57
548,548,32,57
549,549,33,42
550,550,33,33
551,551,33,29
552,552,33,39
553,553,34,54
554,554,34,67
555,555,34,35
556,556,34,56
557,557,35,118
558,558,35,41
559,559,35,51
560,560,35,71
561,561,1,28
562,562,1,44
563,563,1,48
564,564,1,36
565,565,2,63
566,566,2,102
567,567,2,17
568,568,2,44
569,569,3,108
570,570,3,104
571,571,3,41
572,572,3,30
573,573,4,111
574,574,4,44
575,575,4,43
576,576,4,105
577,577,5,71
578,578,5,52
579,579,5,39
580,580,5,80
581,581,6,119
582,582,6,31
583,583,6,44
584,584,6,71
585,585,7,55
586,586,7,24
587,587,7,43
588,588,7,117
589,589,8,87
590,590,8,73
591,591,8,73
592,592,8,74
593,593,9,72
594,594,9,38
595,595,9,75
596,596,9,93
597,597,10,90
598,598,10,21
599,599,10,50
600,600,10,109
601,601,11,47
602,602,11,35
603,603,11,42
604,604,11,55
605,605,12,47
606,606,12,33
607,607,12,32
608,608,12,80
609,609,13,53
610,610,13,48
611,611,13,39
612,612,13,63
613,613,14,111
614,614,14,30
615,615,14,39
616,616,14,86
617,617,15,111
618,618,15,62
619,619,15,39
620,620,15,59
621,621,16,62
622,622,16,62
623,623,16,51
624,624,16,80
625,625,17,86
626,626,17,81
627,627,17,76
628,628,17,68
629,629,18,79
630,630,18,49
631,631,18,28
632,632,18,36
633,633,19,39
634,634,19,56
635,635,19,32
636,636,19,98
637,637,20,54
638,638,20,69
639,639,20,45
640,640,20,46
641,641,21,45
642,642,21,40
643,643,21,62
644,644,21,23
645,645,22,78
646,646,22,22
647,647,22,65
648,648,22,56
649,649,23,107
650,650,23,50
651,651,23,31
652,652,23,35
653,653,24,46
654,654,24,88
655,655,24,24
656,656,24,132
657,657,25,108
658,658,25,43
659,659,25,59
660,660,25,84
661,661,26,80
662,662,26,91
663,663,26,51
664,664,26,116
665,665,27,81
666,666,27,34
667,667,27,78
668,668,27,41
669,669,28,115
670,670,28,114
671,671,28,27
672,672,28,100
673,673,29,46
674,674,29,89
675,675,29,32
676,676,29,31
677,677,30,47
678,678,30,45
679,679,30,33
680,680,30,69
681,681,31,34
682,682,31,94
683,683,31,88
684,684,31,99
685,685,32,72
686,686,32,79
687,687,32,59
688,688,32,55
689,689,33,56
690,690,33,65
691,691,33,44
692,692,33,99
693,693,34,66
694,694,34,43
695,695,34,54
696,696,34,63
697,697,35,90
698,698,35,63
699,699,35,65
700,700,35,122
701,701,1,101
702,702,1,55
703,703,1,45
704,704,1,120
705,705,2,114
706,706,2,28
707,707,2,42
708,708,2,89
709,709,3,86
710,710,3,63
711,711,3,26
712,712,3,69
713,713,4,90
714,714,4,38
715,715,4,26
716,716,4,93
717,717,5,98
718,718,5,43
719,719,5,45
720,720,5,62
721,721,6,48
722,722,6,66
723,723,6,29
724,724,6,77
725,725,7,72
726,726,7,61
727,727,7,57
728,728,7,57
729,729,8,38
730,730,8,74
731,731,8,26
732,732,8,42
733,733,9,53
734,734,9,42
735,735,9,51
736,736,9,34
737,737,10,65
738,738,10,80
739,739,10,69
740,740,10,56
741,741,11,92
742,742,11,78
743,743,11,47
744,744,11,69
745,745,12,42
746,746,12,92
747,747,12,32
748,748,12,40
749,749,13,83
750,750,13,66
751,751,13,24
752,752,13,69
753,753,14,92
754,754,14,90
755,755,14,39
756,756,14,87
757,757,15,48
758,758,15,77
759,759,15,61
760,760,15,60
761,761,16,76
762,762,16,58
763,763,16,73
764,764,16,110
765,765,17,56
766,766,17,64
767,767,17,31
768,768,17,95
769,769,18,54
770,770,18,35
771,771,18,62
772,772,18,51
773,773,19,28
774,774,19,36
775,775,19,33
776,776,19,59
777,777,20,80
778,778,20,36
779,779,20,30
780,780,20,43
781,781,21,71
782,782,21,42
783,783,21,37
784,784,21,77
785,785,22,122
786,786,22,37
787,787,22,18
788,788,22,35
789,789,23,80
790,790,23,49
791,791,23,71
792,792,23,37
793,793,24,78
794,794,24,48
795,795,24,30
796,796,24,69
797,797,25,63
798,798,25,40
799,799,25,25
800,800,25,46
801,801,26,63
802,802,26,47
803,803,26,37
804,804,26,111
805,805,27,50
806,806,27,26
807,807,27,11
808,808,27,28
809,809,28,54
810,810,28,92
811,811,28,14
812,812,28,63
813,813,29,111
814,814,29,47
815,815,29,37
816,816,29,53
817,817,30,87
818,818,30,54
819,819,30,29
820,820,30,81
821,821,31,79
822,822,31,33
823,823,31,42
824,824,31,34
825,825,32,38
826,826,32,37
827,827,32,70
828,828,32,65
829,829,33,109
830,830,33,64
831,831,33,24
832,832,33,123
833,833,34,68
834,834,34,54
835,835,34,37
836,836,34,49
837,837,35,55
838,838,35,50
839,839,35,38
840,840,35,63
841,841,1,31
842,842,1,22
843,843,1,47
844,844,1,53
845,845,2,25
846,846,2,25
847,847,2,10
848,848,2,37
849,849,3,19
850,850,3,32
851,851,3,49
852,852,3,43
853,853,4,30
854,854,4,31
855,855,4,25
856,856,4,36
857,857,5,27
858,858,5,20
859,859,5,19
860,860,5,43
861,861,6,41
862,862,6,20
863,863,6,21
864,864,6,39
865,865,7,26
866,866,7,25
867,867,7,21
868,868,7,50
869,869,8,34
870,870,8,24
871,871,8,28
872,872,8,48
873,873,9,41
874,874,9,50
875,875,9,19
876,876,9,43
877,877,10,64
878,878,10,16
879,879,10,18
880,880,10,49
881,881,11,46
882,882,11,36
883,883,11,21
884,884,11,23
885,885,12,37
886,886,12,19
887,887,12,55
888,888,12,25
889,889,13,49
890,890,13,28
891,891,13,25
892,892,13,37
893,893,14,20
894,894,14,15
895,895,14,16
896,896,14,29
897,897,15,47
898,898,15,29
899,899,15,27
900,900,15,47
901,901,16,56
902,902,16,62
903,903,16,38
904,904,16,21
905,905,17,25
906,906,17,35
907,907,17,24
908,908,17,30
909,909,18,38
910,910,18,41
911,911,18,28
912,912,18,27
913,913,19,27
914,914,19,22
915,915,19,18
916,916,19,38
917,917,20,57
918,918,20,23
919,919,20,21
920,920,20,25
921,921,21,34
922,922,21,30
923,923,21,54
924,924,21,23
925,925,22,47
926,926,22,52
927,927,22,17
928,928,22,24
929,929,23,36
930,930,23,29
931,931,23,29
