id,distributionReceiptId,flowerId,receivedQuantity,damagedQuantity,missingQuantity
1,1,1,40,1,0
2,2,1,67,2,1
3,3,1,17,0,0
4,4,1,22,0,0
5,5,2,24,0,0
6,6,2,31,1,1
7,7,2,15,0,0
8,8,2,32,1,0
9,9,3,20,0,0
10,10,3,33,1,0
11,11,3,9,0,0
12,12,3,51,0,1
13,13,4,35,0,0
14,14,4,14,0,0
15,15,4,28,1,0
16,16,4,39,1,0
17,17,5,38,0,0
18,18,5,23,0,0
19,19,5,17,0,0
20,20,5,59,1,1
21,21,6,37,0,0
22,22,6,14,0,0
23,23,6,22,0,0
24,24,6,33,0,0
25,25,7,67,0,1
26,26,7,21,0,0
27,27,7,39,0,0
28,28,7,34,0,1
29,29,8,58,1,0
30,30,8,20,0,0
31,31,8,36,0,0
32,32,8,21,0,0
33,33,9,65,1,1
34,34,9,21,0,0
35,35,9,13,0,0
36,36,9,19,0,0
37,37,10,52,1,1
38,38,10,48,0,0
39,39,10,22,0,0
40,40,10,20,0,0
41,41,11,20,0,0
42,42,11,35,1,0
43,43,11,12,0,0
44,44,11,17,0,0
45,45,12,49,1,0
46,46,12,30,0,0
47,47,12,12,0,0
48,48,12,17,0,0
49,49,13,23,1,0
50,50,13,51,0,0
51,51,13,19,0,0
52,52,13,42,0,0
53,53,14,37,0,0
54,54,14,39,0,1
55,55,14,25,0,0
56,56,14,37,1,1
57,57,15,27,0,0
58,58,15,26,1,0
59,59,15,13,0,0
60,60,15,33,1,0
61,61,16,46,0,0
62,62,16,20,0,0
63,63,16,16,0,0
64,64,16,27,1,1
65,65,17,26,1,0
66,66,17,51,0,0
67,67,17,19,0,0
68,68,17,22,0,0
69,69,18,50,1,1
70,70,18,16,0,0
71,71,18,18,0,0
72,72,18,32,1,1
73,73,19,31,0,0
74,74,19,33,1,0
75,75,19,32,0,0
76,76,19,26,0,0
77,77,20,37,0,0
78,78,20,9,0,0
79,79,20,15,0,0
80,80,20,45,1,1
81,81,21,35,1,0
82,82,21,16,0,0
83,83,21,31,1,1
84,84,21,40,1,1
85,85,22,62,1,1
86,86,22,25,0,0
87,87,22,21,1,0
88,88,22,17,0,0
89,89,23,54,0,0
90,90,23,28,1,0
91,91,23,32,1,0
92,92,23,19,0,0
93,93,24,36,1,1
94,94,24,20,1,0
95,95,24,19,0,0
96,96,24,21,1,0
97,97,25,17,0,0
98,98,25,11,0,0
99,99,25,24,0,0
100,100,25,34,0,0
101,101,26,18,0,0
102,102,26,34,1,0
103,103,26,39,1,1
104,104,26,41,0,0
105,105,27,55,1,1
106,106,27,42,1,0
107,107,27,16,0,0
108,108,27,48,1,1
109,109,28,20,1,0
110,110,28,27,0,0
111,111,28,26,0,0
112,112,28,25,0,0
113,113,29,42,0,0
114,114,29,37,1,1
115,115,29,17,0,0
116,116,29,34,1,0
117,117,30,69,1,0
118,118,30,24,0,0
119,119,30,13,0,0
120,120,30,65,2,0
121,121,31,35,0,0
122,122,31,28,0,0
123,123,31,19,0,0
124,124,31,33,1,0
125,125,32,30,0,0
126,126,32,13,0,0
127,127,32,21,1,0
128,128,32,59,1,1
129,129,33,57,0,1
130,130,33,39,0,0
131,131,33,20,0,0
132,132,33,45,0,0
133,133,34,41,1,1
134,134,34,25,0,0
135,135,34,21,1,0
136,136,34,32,0,0
137,137,35,43,0,0
138,138,35,38,1,0
139,139,35,22,1,0
140,140,35,36,0,1
141,141,1,49,1,0
142,142,1,26,0,0
143,143,1,24,0,0
144,144,1,24,0,0
145,145,2,31,0,0
146,146,2,40,0,0
147,147,2,46,1,1
148,148,2,24,0,0
149,149,3,72,0,1
150,150,3,33,0,0
151,151,3,23,0,0
152,152,3,27,0,0
153,153,4,45,0,1
154,154,4,36,1,0
155,155,4,26,1,0
156,156,4,35,1,1
157,157,5,92,2,1
158,158,5,24,1,0
159,159,5,23,0,0
160,160,5,44,1,0
161,161,6,34,0,0
162,162,6,16,0,0
163,163,6,15,0,0
164,164,6,45,1,0
165,165,7,60,1,1
166,166,7,32,0,1
167,167,7,8,0,0
168,168,7,22,0,0
169,169,8,39,1,1
170,170,8,16,0,0
171,171,8,18,0,0
172,172,8,17,0,0
173,173,9,30,1,0
174,174,9,21,0,0
175,175,9,27,0,0
176,176,9,29,1,1
177,177,10,49,0,1
178,178,10,50,1,0
179,179,10,19,0,0
180,180,10,38,0,1
181,181,11,34,0,0
182,182,11,32,0,0
183,183,11,18,0,0
184,184,11,30,1,0
185,185,12,56,1,1
186,186,12,35,0,0
187,187,12,32,1,1
188,188,12,45,1,0
189,189,13,52,1,0
190,190,13,24,0,0
191,191,13,34,1,0
192,192,13,18,1,0
193,193,14,44,0,0
194,194,14,34,1,0
195,195,14,16,0,0
196,196,14,25,1,0
197,197,15,44,0,1
198,198,15,57,0,0
199,199,15,14,0,0
200,200,15,19,1,0
201,201,16,59,0,0
202,202,16,47,0,1
203,203,16,28,0,0
204,204,16,55,1,1
205,205,17,37,0,0
206,206,17,17,0,0
207,207,17,26,0,0
208,208,17,35,1,1
209,209,18,48,0,0
210,210,18,43,1,0
211,211,18,31,1,0
212,212,18,16,0,0
213,213,19,41,0,0
214,214,19,27,1,0
215,215,19,38,1,0
216,216,19,20,0,0
217,217,20,47,1,0
218,218,20,46,1,1
219,219,20,16,0,0
220,220,20,20,0,0
221,221,21,40,1,0
222,222,21,33,0,0
223,223,21,18,0,0
224,224,21,64,1,1
225,225,22,60,0,1
226,226,22,41,0,0
227,227,22,20,0,0
228,228,22,30,1,0
