id,farmId,receivedDate,status
1,1,2025-07-29,COMPLETED
2,2,2025-07-29,COMPLETED
3,3,2025-07-29,COMPLETED
4,4,2025-07-29,COMPLETED
5,5,2025-07-29,COMPLETED
6,1,2025-07-30,COMPLETED
7,2,2025-07-30,COMPLETED
8,3,2025-07-30,COMPLETED
9,4,2025-07-30,COMPLETED
10,5,2025-07-30,COMPLETED
11,1,2025-07-31,COMPLETED
12,2,2025-07-31,COMPLETED
13,3,2025-07-31,COMPLETED
14,4,2025-07-31,COMPLETED
15,5,2025-07-31,COMPLETED
16,1,2025-08-01,COMPLETED
17,2,2025-08-01,COMPLETED
18,3,2025-08-01,COMPLETED
19,4,2025-08-01,COMPLETED
20,5,2025-08-01,COMPLETED
21,1,2025-08-02,COMPLETED
22,2,2025-08-02,COMPLETED
23,3,2025-08-02,COMPLETED
24,4,2025-08-02,COMPLETED
25,5,2025-08-02,COMPLETED
26,1,2025-08-03,COMPLETED
27,2,2025-08-03,COMPLETED
28,3,2025-08-03,COMPLETED
29,4,2025-08-03,COMPLETED
30,5,2025-08-03,COMPLETED
31,1,2025-08-04,COMPLETED
32,2,2025-08-04,COMPLETED
33,3,2025-08-04,COMPLETED
34,4,2025-08-04,COMPLETED
35,5,2025-08-04,COMPLETED
36,1,2025-08-05,COMPLETED
37,2,2025-08-05,COMPLETED
38,3,2025-08-05,COMPLETED
39,4,2025-08-05,COMPLETED
40,5,2025-08-05,COMPLETED
41,1,2025-08-06,COMPLETED
42,2,2025-08-06,COMPLETED
43,3,2025-08-06,COMPLETED
44,4,2025-08-06,COMPLETED
45,5,2025-08-06,COMPLETED
46,1,2025-08-07,COMPLETED
47,2,2025-08-07,COMPLETED
48,3,2025-08-07,COMPLETED
49,4,2025-08-07,COMPLETED
50,5,2025-08-07,COMPLETED
51,1,2025-08-08,COMPLETED
52,2,2025-08-08,COMPLETED
53,3,2025-08-08,COMPLETED
54,4,2025-08-08,COMPLETED
55,5,2025-08-08,COMPLETED
56,1,2025-08-09,COMPLETED
57,2,2025-08-09,COMPLETED
58,3,2025-08-09,COMPLETED
59,4,2025-08-09,COMPLETED
60,5,2025-08-09,COMPLETED
61,1,2025-08-10,COMPLETED
62,2,2025-08-10,COMPLETED
63,3,2025-08-10,COMPLETED
64,4,2025-08-10,COMPLETED
65,5,2025-08-10,COMPLETED
66,1,2025-08-11,COMPLETED
67,2,2025-08-11,COMPLETED
68,3,2025-08-11,COMPLETED
69,4,2025-08-11,COMPLETED
70,5,2025-08-11,COMPLETED
71,1,2025-08-12,COMPLETED
72,2,2025-08-12,COMPLETED
73,3,2025-08-12,COMPLETED
74,4,2025-08-12,COMPLETED
75,5,2025-08-12,COMPLETED
76,1,2025-08-13,COMPLETED
77,2,2025-08-13,COMPLETED
78,3,2025-08-13,COMPLETED
79,4,2025-08-13,COMPLETED
80,5,2025-08-13,COMPLETED
81,1,2025-08-14,COMPLETED
82,2,2025-08-14,COMPLETED
83,3,2025-08-14,COMPLETED
84,4,2025-08-14,COMPLETED
