id,branchId,flowerId,sourceOrderId,quantity,shippedAt
1,1,1,1,18,2025-07-29
2,2,1,2,24,2025-07-29
3,3,1,3,21,2025-07-29
4,4,1,4,13,2025-07-29
5,1,2,5,28,2025-07-29
6,2,2,6,26,2025-07-29
7,3,2,7,9,2025-07-29
8,4,2,8,35,2025-07-29
9,1,3,9,17,2025-07-29
10,2,3,10,21,2025-07-29
11,3,3,11,13,2025-07-29
12,4,3,12,42,2025-07-29
13,1,4,13,55,2025-07-29
14,2,4,14,18,2025-07-29
15,3,4,15,31,2025-07-29
16,4,4,16,22,2025-07-29
17,1,5,17,25,2025-07-29
18,2,5,18,20,2025-07-29
19,3,5,19,29,2025-07-29
20,4,5,20,41,2025-07-29
21,1,6,21,27,2025-07-29
22,2,6,22,31,2025-07-29
23,3,6,23,20,2025-07-29
24,4,6,24,15,2025-07-29
25,1,7,25,21,2025-07-29
26,2,7,26,29,2025-07-29
27,3,7,27,13,2025-07-29
28,4,7,28,39,2025-07-29
29,1,8,29,17,2025-07-29
30,2,8,30,21,2025-07-29
31,3,8,31,7,2025-07-29
32,4,8,32,38,2025-07-29
33,1,9,33,20,2025-07-29
34,2,9,34,19,2025-07-29
35,3,9,35,15,2025-07-29
36,4,9,36,27,2025-07-29
37,1,10,37,33,2025-07-29
38,2,10,38,10,2025-07-29
39,3,10,39,10,2025-07-29
40,4,10,40,18,2025-07-29
41,1,11,41,23,2025-07-29
42,2,11,42,24,2025-07-29
43,3,11,43,15,2025-07-29
44,4,11,44,24,2025-07-29
45,1,12,45,42,2025-07-29
46,2,12,46,14,2025-07-29
47,3,12,47,8,2025-07-29
48,4,12,48,15,2025-07-29
49,1,13,49,28,2025-07-29
50,2,13,50,17,2025-07-29
51,3,13,51,12,2025-07-29
52,4,13,52,26,2025-07-29
53,1,14,53,26,2025-07-29
54,2,14,54,17,2025-07-29
55,3,14,55,17,2025-07-29
56,4,14,56,45,2025-07-29
57,1,15,57,34,2025-07-29
58,2,15,58,13,2025-07-29
59,3,15,59,8,2025-07-29
60,4,15,60,33,2025-07-29
61,1,16,61,31,2025-07-29
62,2,16,62,20,2025-07-29
63,3,16,63,17,2025-07-29
64,4,16,64,32,2025-07-29
65,1,17,65,28,2025-07-29
66,2,17,66,13,2025-07-29
67,3,17,67,13,2025-07-29
68,4,17,68,33,2025-07-29
69,1,18,69,36,2025-07-29
70,2,18,70,22,2025-07-29
71,3,18,71,21,2025-07-29
72,4,18,72,28,2025-07-29
73,1,19,73,28,2025-07-29
74,2,19,74,9,2025-07-29
75,3,19,75,15,2025-07-29
76,4,19,76,49,2025-07-29
77,1,20,77,37,2025-07-29
78,2,20,78,22,2025-07-29
79,3,20,79,11,2025-07-29
80,4,20,80,19,2025-07-29
81,1,21,81,18,2025-07-29
82,2,21,82,18,2025-07-29
83,3,21,83,26,2025-07-29
84,4,21,84,43,2025-07-29
85,1,22,85,23,2025-07-29
86,2,22,86,22,2025-07-29
87,3,22,87,10,2025-07-29
88,4,22,88,29,2025-07-29
89,1,23,89,34,2025-07-29
90,2,23,90,16,2025-07-29
91,3,23,91,8,2025-07-29
92,4,23,92,39,2025-07-29
93,1,24,93,28,2025-07-29
94,2,24,94,29,2025-07-29
95,3,24,95,8,2025-07-29
96,4,24,96,17,2025-07-29
97,1,25,97,25,2025-07-29
98,2,25,98,14,2025-07-29
99,3,25,99,19,2025-07-29
100,4,25,100,35,2025-07-29
101,1,26,101,21,2025-07-29
102,2,26,102,30,2025-07-29
103,3,26,103,28,2025-07-29
104,4,26,104,31,2025-07-29
105,1,27,105,49,2025-07-29
106,2,27,106,27,2025-07-29
107,3,27,107,9,2025-07-29
108,4,27,108,27,2025-07-29
109,1,28,109,27,2025-07-29
110,2,28,110,30,2025-07-29
111,3,28,111,21,2025-07-29
112,4,28,112,17,2025-07-29
113,1,29,113,21,2025-07-29
