id,dailySaleId,flowerId,soldQuantity,damagedQuantity
1,1,1,26,0
2,1,2,53,2
3,1,3,23,1
4,1,4,28,1
5,1,5,19,1
6,1,6,34,1
7,1,7,41,2
8,1,8,24,1
9,1,9,34,0
10,1,10,73,1
11,1,11,17,1
12,1,12,39,1
13,1,13,80,4
14,1,14,13,1
15,1,15,16,0
16,1,16,23,1
17,1,17,29,0
18,1,18,17,0
19,1,19,25,1
20,1,20,37,1
21,1,21,48,1
22,1,22,12,0
23,1,23,14,0
24,1,24,20,0
25,1,25,37,1
26,1,26,44,1
27,1,27,39,2
28,1,28,16,0
29,1,29,32,1
30,1,30,21,0
31,1,31,26,1
32,1,32,26,1
33,1,33,40,1
34,1,34,15,1
35,1,35,29,1
36,2,1,5,0
37,2,2,38,2
38,2,3,13,0
39,2,4,11,0
40,2,5,16,1
41,2,6,33,1
42,2,7,19,0
43,2,8,12,0
44,2,9,12,0
45,2,10,14,0
46,2,11,15,0
47,2,12,15,0
48,2,13,13,1
49,2,14,21,0
50,2,15,7,0
51,2,16,36,0
52,2,17,28,1
53,2,18,11,0
54,2,19,13,1
55,2,20,6,0
56,2,21,20,0
57,2,22,20,0
58,2,23,19,1
59,2,24,33,1
60,2,25,19,0
61,2,26,26,1
62,2,27,12,1
63,2,28,21,1
64,2,29,26,1
65,2,30,17,0
66,2,31,31,1
67,2,32,15,0
68,2,33,15,0
69,2,34,10,0
70,2,35,9,0
71,3,1,14,1
72,3,2,13,1
73,3,3,16,0
74,3,4,17,0
75,3,5,10,0
76,3,6,6,0
77,3,7,14,1
78,3,8,19,0
79,3,9,14,1
80,3,10,14,0
81,3,11,23,0
82,3,12,14,0
83,3,13,23,1
84,3,14,27,2
85,3,15,5,0
86,3,16,16,1
87,3,17,12,1
88,3,18,7,0
89,3,19,9,1
90,3,20,14,1
91,3,21,22,1
92,3,22,28,1
93,3,23,16,0
94,3,24,16,1
95,3,25,26,1
96,3,26,31,2
97,3,27,10,0
98,3,28,9,0
99,3,29,28,1
100,3,30,17,0
101,3,31,15,1
102,3,32,22,1
103,3,33,13,1
104,3,34,19,1
105,3,35,13,0
106,4,1,27,0
107,4,2,15,0
108,4,3,20,1
109,4,4,30,0
110,4,5,38,2
111,4,6,27,1
112,4,7,20,1
113,4,8,35,2
114,4,9,26,1
115,4,10,43,2
116,4,11,6,0
117,4,12,6,0
118,4,13,9,0
119,4,14,38,2
120,4,15,29,1
121,4,16,25,1
122,4,17,23,0
123,4,18,6,0
124,4,19,47,3
125,4,20,30,1
126,4,21,11,0
127,4,22,36,1
128,4,23,10,0
129,4,24,12,1
130,4,25,19,1
131,4,26,19,0
132,4,27,7,0
133,4,28,10,0
134,4,29,25,1
135,4,30,21,0
136,4,31,19,0
137,4,32,23,0
138,4,33,4,0
139,4,34,26,1
140,4,35,14,1
141,5,1,12,1
142,5,2,35,1
143,5,3,42,2
144,5,4,40,1
145,5,5,31,1
146,5,6,21,1
147,5,7,18,0
148,5,8,15,0
149,5,9,23,0
150,5,10,19,0
151,5,11,31,0
152,5,12,8,0
153,5,13,29,1
154,5,14,24,1
155,5,15,29,1
156,5,16,7,0
157,5,17,31,0
158,5,18,10,0
159,5,19,33,2
160,5,20,15,0
161,5,21,26,1
162,5,22,48,2
163,5,23,47,1
164,5,24,33,0
165,5,25,18,1
166,5,26,30,1
167,5,27,43,2
168,5,28,20,1
169,5,29,36,0
170,5,30,25,0
171,5,31,62,2
172,5,32,24,1
173,5,33,46,1
174,5,34,34,2
175,5,35,25,1
176,6,1,14,1
177,6,2,18,1
178,6,3,16,1
179,6,4,17,1
180,6,5,20,1
181,6,6,19,1
182,6,7,29,1
183,6,8,18,1
184,6,9,17,1
185,6,10,23,1
186,6,11,25,1
187,6,12,8,0
188,6,13,16,0
189,6,14,32,2
190,6,15,10,1
191,6,16,8,0
192,6,17,9,0
193,6,18,29,0
194,6,19,18,0
195,6,20,26,0
196,6,21,24,0
197,6,22,10,0
198,6,23,29,1
199,6,24,30,1
200,6,25,14,0
201,6,26,21,1
202,6,27,22,0
203,6,28,12,0
204,6,29,10,0
205,6,30,9,0
206,6,31,28,1
207,6,32,17,0
208,6,33,16,1
209,6,34,15,0
210,6,35,21,0
211,7,1,19,1
212,7,2,19,1
213,7,3,21,0
214,7,4,6,0
215,7,5,13,1
216,7,6,32,0
217,7,7,15,1
218,7,8,8,0
219,7,9,19,1
220,7,10,15,0
221,7,11,21,0
222,7,12,24,1
223,7,13,14,1
224,7,14,23,1
225,7,15,9,0
226,7,16,13,0
227,7,17,17,0
228,7,18,24,1
229,7,19,8,0
230,7,20,4,0
231,7,21,28,1
232,7,22,31,1
233,7,23,10,1
234,7,24,9,0
235,7,25,9,0
236,7,26,22,1
237,7,27,15,0
238,7,28,14,1
239,7,29,13,1
240,7,30,16,0
241,7,31,24,1
242,7,32,20,1
243,7,33,7,0
244,7,34,9,0
245,7,35,22,1
246,8,1,35,1
247,8,2,36,1
248,8,3,17,0
249,8,4,45,1
250,8,5,19,1
251,8,6,27,1
252,8,7,28,1
253,8,8,66,2
254,8,9,20,1
255,8,10,23,1
256,8,11,18,1
257,8,12,22,0
258,8,13,38,2
259,8,14,39,0
260,8,15,10,0
261,8,16,42,2
262,8,17,29,1
263,8,18,13,1
264,8,19,32,2
265,8,20,12,0
266,8,21,17,1
267,8,22,16,0
268,8,23,25,1
269,8,24,13,0
270,8,25,19,1
271,8,26,18,0
272,8,27,23,1
273,8,28,24,0
274,8,29,22,1
275,8,30,49,1
276,8,31,28,1
277,8,32,17,1
278,8,33,20,1
279,8,34,37,1
280,8,35,20,0
281,9,1,11,0
282,9,2,40,1
283,9,3,22,1
284,9,4,48,2
285,9,5,39,2
286,9,6,56,2
287,9,7,7,0
288,9,8,38,1
289,9,9,29,1
290,9,10,38,1
291,9,11,24,0
292,9,12,22,1
293,9,13,26,1
294,9,14,30,1
295,9,15,48,3
296,9,16,53,3
297,9,17,1,0
298,9,18,19,0
299,9,19,16,1
300,9,20,35,1
301,9,21,27,0
302,9,22,23,1
303,9,23,37,2
304,9,24,37,0
305,9,25,32,1
306,9,26,40,2
307,9,27,52,2
308,9,28,60,1
309,9,29,22,1
310,9,30,51,2
311,9,31,26,1
312,9,32,22,1
313,9,33,12,1
314,9,34,13,0
315,9,35,66,1
316,10,1,34,1
317,10,2,17,0
318,10,3,12,1
319,10,4,15,0
320,10,5,39,2
321,10,6,44,2
322,10,7,22,1
323,10,8,23,1
324,10,9,16,1
325,10,10,3,0
326,10,11,9,0
327,10,12,18,1
328,10,13,28,1
329,10,14,19,1
330,10,15,16,1
331,10,16,22,0
332,10,17,16,1
333,10,18,32,1
334,10,19,25,1
335,10,20,13,1
336,10,21,36,2
337,10,22,19,0
338,10,23,16,0
339,10,24,13,0
340,10,25,23,1
341,10,26,15,1
342,10,27,8,0
343,10,28,12,0
344,10,29,29,2
345,10,30,15,1
346,10,31,40,2
347,10,32,47,1
348,10,33,17,1
349,10,34,17,0
350,10,35,30,2
351,11,1,20,1
352,11,2,15,1
353,11,3,17,0
354,11,4,14,1
355,11,5,28,1
356,11,6,37,1
357,11,7,33,1
358,11,8,12,0
359,11,9,12,1
360,11,10,14,0
361,11,11,23,0
362,11,12,23,1
363,11,13,26,0
364,11,14,28,1
365,11,15,10,0
366,11,16,9,0
367,11,17,36,1
368,11,18,16,0
369,11,19,48,1
370,11,20,55,2
371,11,21,21,1
372,11,22,6,0
373,11,23,23,1
374,11,24,41,2
375,11,25,22,1
376,11,26,20,0
377,11,27,10,0
378,11,28,27,1
379,11,29,22,1
380,11,30,20,0
381,11,31,8,0
382,11,32,35,1
383,11,33,15,0
384,11,34,11,1
385,11,35,35,1
386,12,1,16,1
387,12,2,21,0
388,12,3,21,1
389,12,4,32,1
390,12,5,13,0
391,12,6,37,2
392,12,7,20,0
393,12,8,16,1
394,12,9,18,0
395,12,10,24,1
396,12,11,31,1
397,12,12,19,0
398,12,13,42,1
399,12,14,12,0
400,12,15,20,0
401,12,16,32,1
402,12,17,24,0
403,12,18,47,1
404,12,19,20,1
405,12,20,63,2
406,12,21,13,0
407,12,22,12,0
408,12,23,15,1
409,12,24,12,1
410,12,25,17,0
411,12,26,40,2
412,12,27,38,1
413,12,28,36,1
414,12,29,22,1
415,12,30,9,0
416,12,31,28,0
417,12,32,26,1
418,12,33,9,0
419,12,34,40,2
420,12,35,28,1
421,13,1,33,1
422,13,2,21,1
423,13,3,22,1
424,13,4,18,1
425,13,5,48,2
426,13,6,55,1
427,13,7,59,2
428,13,8,44,2
429,13,9,45,1
430,13,10,60,1
431,13,11,52,1
432,13,12,62,2
433,13,13,43,2
434,13,14,31,1
435,13,15,38,2
436,13,16,33,1
437,13,17,20,0
438,13,18,36,1
439,13,19,27,1
440,13,20,40,1
441,13,21,23,0
442,13,22,29,1
443,13,23,38,2
444,13,24,57,3
445,13,25,42,2
446,13,26,14,0
447,13,27,18,1
448,13,28,38,0
449,13,29,17,1
450,13,30,22,1
451,13,31,33,2
452,13,32,43,1
453,13,33,58,3
454,13,34,59,1
455,13,35,17,0
456,14,1,16,0
457,14,2,27,1
458,14,3,43,2
459,14,4,19,0
460,14,5,42,1
461,14,6,26,1
462,14,7,26,2
463,14,8,22,0
464,14,9,41,1
465,14,10,27,1
466,14,11,38,2
467,14,12,16,1
468,14,13,18,1
469,14,14,40,1
470,14,15,28,1
471,14,16,13,0
472,14,17,38,1
473,14,18,29,2
474,14,19,18,1
475,14,20,36,2
476,14,21,53,3
477,14,22,25,1
478,14,23,25,1
479,14,24,44,2
480,14,25,28,1
481,14,26,27,1
482,14,27,37,1
483,14,28,24,1
484,14,29,44,2
485,14,30,22,0
486,14,31,21,1
487,14,32,12,1
488,14,33,6,0
489,14,34,33,2
490,14,35,18,1
491,15,1,21,1
492,15,2,24,1
493,15,3,11,1
494,15,4,25,1
495,15,5,18,1
496,15,6,13,0
497,15,7,9,0
498,15,8,46,3
499,15,9,12,0
500,15,10,10,1
501,15,11,20,0
502,15,12,12,0
503,15,13,11,0
504,15,14,12,1
505,15,15,20,0
506,15,16,25,0
507,15,17,16,1
508,15,18,32,2
509,15,19,21,1
510,15,20,36,2
511,15,21,38,1
512,15,22,11,0
513,15,23,39,1
514,15,24,28,1
515,15,25,23,0
516,15,26,10,0
517,15,27,20,1
518,15,28,23,1
519,15,29,19,1
520,15,30,17,1
521,15,31,36,1
522,15,32,23,1
523,15,33,9,0
524,15,34,31,1
525,15,35,23,1
526,16,1,28,1
527,16,2,50,3
528,16,3,71,4
529,16,4,31,1
530,16,5,46,2
531,16,6,26,1
532,16,7,28,1
533,16,8,33,0
534,16,9,59,1
535,16,10,40,1
536,16,11,45,2
537,16,12,41,0
538,16,13,46,2
539,16,14,23,1
540,16,15,27,1
541,16,16,34,2
542,16,17,48,2
543,16,18,32,2
544,16,19,23,0
545,16,20,24,1
546,16,21,39,2
547,16,22,68,2
548,16,23,19,1
549,16,24,28,2
550,16,25,48,1
551,16,26,32,2
552,16,27,77,1
553,16,28,36,2
554,16,29,25,1
555,16,30,11,1
556,16,31,52,1
557,16,32,53,3
558,16,33,27,1
559,16,34,31,0
560,16,35,42,2
561,17,1,46,2
562,17,2,11,1
563,17,3,34,2
564,17,4,26,1
565,17,5,53,3
