id,distributionOrderId,flowerId,quantity
1,1,1,18
2,2,1,24
3,3,1,22
4,4,1,13
5,5,2,28
6,6,2,26
7,7,2,9
8,8,2,35
9,9,3,17
10,10,3,21
11,11,3,13
12,12,3,43
13,13,4,56
14,14,4,18
15,15,4,32
16,16,4,22
17,17,5,25
18,18,5,20
19,19,5,29
20,20,5,42
21,21,6,28
22,22,6,31
23,23,6,20
24,24,6,15
25,25,7,21
26,26,7,30
27,27,7,13
28,28,7,40
29,29,8,17
30,30,8,21
31,31,8,7
32,32,8,39
33,33,9,20
34,34,9,19
35,35,9,15
36,36,9,28
37,37,10,33
38,38,10,10
39,39,10,10
40,40,10,18
41,41,11,23
42,42,11,24
43,43,11,15
44,44,11,24
45,45,12,42
46,46,12,14
47,47,12,8
48,48,12,15
49,49,13,28
50,50,13,17
51,51,13,12
52,52,13,26
53,53,14,26
54,54,14,17
55,55,14,17
56,56,14,46
57,57,15,35
58,58,15,13
59,59,15,8
60,60,15,35
61,61,16,32
62,62,16,20
63,63,16,17
64,64,16,33
65,65,17,29
66,66,17,13
67,67,17,13
68,68,17,33
69,69,18,38
70,70,18,23
71,71,18,21
72,72,18,28
73,73,19,28
74,74,19,9
75,75,19,15
76,76,19,51
77,77,20,37
78,78,20,22
79,79,20,11
80,80,20,20
81,81,21,18
82,82,21,18
83,83,21,27
84,84,21,44
85,85,22,23
86,86,22,22
87,87,22,10
88,88,22,29
89,89,23,34
90,90,23,17
91,91,23,8
92,92,23,39
93,93,24,28
94,94,24,30
95,95,24,8
96,96,24,17
97,97,25,25
98,98,25,14
99,99,25,19
100,100,25,35
101,101,26,22
102,102,26,31
103,103,26,29
104,104,26,32
105,105,27,51
106,106,27,28
107,107,27,9
108,108,27,27
109,109,28,27
110,110,28,31
111,111,28,21
112,112,28,17
113,113,29,21
114,114,29,25
115,115,29,23
116,116,29,33
117,117,30,30
118,118,30,34
119,119,30,18
120,120,30,27
121,121,31,23
122,122,31,13
123,123,31,25
124,124,31,25
125,125,32,21
126,126,32,37
127,127,32,15
128,128,32,39
129,129,33,15
130,130,33,41
131,131,33,22
132,132,33,27
133,133,34,21
134,134,34,34
135,135,34,18
136,136,34,12
137,137,35,29
138,138,35,21
139,139,35,21
140,140,35,14
141,141,1,16
142,142,1,24
143,143,1,31
144,144,1,29
145,145,2,14
146,146,2,33
147,147,2,23
148,148,2,26
149,149,3,18
150,150,3,25
151,151,3,41
152,152,3,22
153,153,4,37
154,154,4,18
155,155,4,19
156,156,4,24
157,157,5,29
158,158,5,21
159,159,5,21
160,160,5,26
161,161,6,23
162,162,6,16
163,163,6,17
164,164,6,32
165,165,7,44
166,166,7,21
167,167,7,48
168,168,7,22
169,169,8,39
170,170,8,35
171,171,8,23
172,172,8,16
173,173,9,37
174,174,9,15
175,175,9,19
176,176,9,34
177,177,10,32
178,178,10,8
179,179,10,21
180,180,10,19
181,181,11,15
182,182,11,22
183,183,11,13
184,184,11,51
185,185,12,42
186,186,12,17
187,187,12,35
188,188,12,36
189,189,13,24
190,190,13,29
191,191,13,19
192,192,13,34
193,193,14,32
194,194,14,21
195,195,14,18
196,196,14,27
197,197,15,26
198,198,15,18
199,199,15,14
200,200,15,49
201,201,16,38
202,202,16,22
203,203,16,28
204,204,16,42
205,205,17,39
206,206,17,14
207,207,17,29
208,208,17,34
209,209,18,27
210,210,18,19
211,211,18,19
212,212,18,29
213,213,19,40
214,214,19,15
215,215,19,13
216,216,19,17
217,217,20,39
218,218,20,17
219,219,20,14
220,220,20,24
221,221,21,42
222,222,21,26
223,223,21,22
224,224,21,19
225,225,22,56
226,226,22,18
227,227,22,18
228,228,22,23
229,229,23,39
230,230,23,19
231,231,23,13
232,232,23,29
233,233,24,56
234,234,24,22
235,235,24,8
236,236,24,29
237,237,25,50
238,238,25,21
239,239,25,18
240,240,25,26
241,241,26,44
242,242,26,26
243,243,26,24
244,244,26,23
245,245,27,37
246,246,27,32
247,247,27,16
248,248,27,27
249,249,28,39
250,250,28,36
251,251,28,9
252,252,28,18
253,253,29,35
254,254,29,41
255,255,29,21
256,256,29,21
257,257,30,31
258,258,30,38
259,259,30,31
260,260,30,28
261,261,31,49
262,262,31,10
263,263,31,17
264,264,31,25
265,265,32,61
266,266,32,19
267,267,32,17
268,268,32,40
269,269,33,30
270,270,33,12
271,271,33,18
272,272,33,22
273,273,34,49
274,274,34,19
275,275,34,14
276,276,34,19
277,277,35,22
278,278,35,29
279,279,35,9
280,280,35,27
281,281,1,37
282,282,1,18
283,283,1,10
284,284,1,24
285,285,2,43
286,286,2,33
287,287,2,25
288,288,2,22
289,289,3,51
290,290,3,15
291,291,3,36
292,292,3,22
293,293,4,28
294,294,4,30
295,295,4,17
296,296,4,22
297,297,5,22
298,298,5,28
299,299,5,16
300,300,5,31
301,301,6,50
302,302,6,23
303,303,6,14
304,304,6,28
305,305,7,50
306,306,7,24
307,307,7,17
308,308,7,36
309,309,8,24
310,310,8,19
311,311,8,21
312,312,8,21
313,313,9,40
314,314,9,26
315,315,9,27
316,316,9,14
317,317,10,22
318,318,10,31
319,319,10,21
320,320,10,29
321,321,11,55
322,322,11,25
323,323,11,32
324,324,11,32
325,325,12,68
326,326,12,19
327,327,12,22
328,328,12,25
329,329,13,31
330,330,13,21
331,331,13,19
332,332,13,32
333,333,14,22
334,334,14,13
335,335,14,16
336,336,14,35
337,337,15,38
338,338,15,39
339,339,15,14
340,340,15,12
341,341,16,48
342,342,16,22
343,343,16,16
344,344,16,16
345,345,17,34
346,346,17,16
347,347,17,24
348,348,17,30
349,349,18,18
350,350,18,27
351,351,18,19
352,352,18,16
353,353,19,45
354,354,19,16
355,355,19,7
356,356,19,17
357,357,20,38
358,358,20,27
359,359,20,10
360,360,20,52
361,361,21,15
362,362,21,38
363,363,21,28
364,364,21,28
365,365,22,37
366,366,22,23
367,367,22,23
368,368,22,26
369,369,23,36
370,370,23,24
371,371,23,24
372,372,23,40
373,373,24,41
374,374,24,26
375,375,24,16
376,376,24,29
377,377,25,52
378,378,25,16
379,379,25,19
380,380,25,26
381,381,26,29
382,382,26,40
383,383,26,19
384,384,26,29
385,385,27,29
386,386,27,21
387,387,27,9
388,388,27,36
389,389,28,51
390,390,28,13
391,391,28,30
392,392,28,28
393,393,29,49
394,394,29,15
395,395,29,38
396,396,29,13
397,397,30,53
398,398,30,23
399,399,30,21
400,400,30,10
401,401,31,41
402,402,31,30
403,403,31,9
404,404,31,30
405,405,32,35
406,406,32,24
407,407,32,27
408,408,32,24
409,409,33,37
410,410,33,17
411,411,33,8
412,412,33,22
413,413,34,47
414,414,34,11
415,415,34,26
416,416,34,44
417,417,35,23
418,418,35,18
419,419,35,15
420,420,35,51
421,421,1,20
422,422,1,7
423,423,1,32
424,424,1,24
425,425,2,20
426,426,2,24
427,427,2,13
428,428,2,31
429,429,3,23
430,430,3,26
431,431,3,15
432,432,3,25
433,433,4,30
434,434,4,17
435,435,4,19
436,436,4,19
437,437,5,13
438,438,5,26
439,439,5,12
440,440,5,27
441,441,6,29
442,442,6,5
443,443,6,8
444,444,6,31
445,445,7,22
446,446,7,23
447,447,7,14
448,448,7,24
449,449,8,23
450,450,8,26
451,451,8,27
452,452,8,20
453,453,9,13
454,454,9,12
455,455,9,21
456,456,9,28
457,457,10,25
458,458,10,34
459,459,10,12
460,460,10,14
461,461,11,31
462,462,11,16
463,463,11,17
464,464,11,17
465,465,12,18
466,466,12,23
467,467,12,18
468,468,12,22
469,469,13,13
470,470,13,18
471,471,13,13
472,472,13,31
473,473,14,23
474,474,14,37
475,475,14,26
476,476,14,28
477,477,15,27
478,478,15,29
479,479,15,22
480,480,15,23
481,481,16,29
482,482,16,15
483,483,16,23
484,484,16,25
485,485,17,41
486,486,17,14
487,487,17,13
488,488,17,10
489,489,18,25
490,490,18,20
491,491,18,10
492,492,18,20
493,493,19,29
494,494,19,23
495,495,19,22
496,496,19,21
497,497,20,21
498,498,20,26
499,499,20,19
500,500,20,21
501,501,21,26
502,502,21,31
503,503,21,11
504,504,21,30
505,505,22,20
506,506,22,16
507,507,22,15
508,508,22,38
509,509,23,30
510,510,23,11
511,511,23,14
512,512,23,37
513,513,24,29
514,514,24,13
515,515,24,16
516,516,24,22
517,517,25,36
518,518,25,46
519,519,25,8
520,520,25,18
521,521,26,18
522,522,26,24
523,523,26,8
524,524,26,34
525,525,27,24
526,526,27,14
527,527,27,29
528,528,27,43
529,529,28,19
530,530,28,32
531,531,28,15
532,532,28,36
533,533,29,20
534,534,29,33
535,535,29,4
536,536,29,27
537,537,30,45
538,538,30,16
539,539,30,17
540,540,30,26
541,541,31,28
542,542,31,20
543,543,31,9
544,544,31,28
545,545,32,24
546,546,32,14
547,547,32,11
548,548,32,31
549,549,33,29
550,550,33,17
