id,distributionReceiptId,flowerId,receivedQuantity,damagedQuantity,missingQuantity
1,1,1,18,0,0
2,2,1,24,0,0
3,3,1,21,1,0
4,4,1,13,0,0
5,5,2,28,0,0
6,6,2,26,0,0
7,7,2,9,0,0
8,8,2,35,0,0
9,9,3,17,0,0
10,10,3,21,0,0
11,11,3,13,0,0
12,12,3,42,0,1
13,13,4,55,1,0
14,14,4,18,0,0
15,15,4,31,1,0
16,16,4,22,0,0
17,17,5,25,0,0
18,18,5,20,0,0
19,19,5,29,0,0
20,20,5,41,1,0
21,21,6,27,1,0
22,22,6,31,0,0
23,23,6,20,0,0
24,24,6,15,0,0
25,25,7,21,0,0
26,26,7,29,1,0
27,27,7,13,0,0
28,28,7,39,1,0
29,29,8,17,0,0
30,30,8,21,0,0
31,31,8,7,0,0
32,32,8,38,0,1
33,33,9,20,0,0
34,34,9,19,0,0
35,35,9,15,0,0
36,36,9,27,1,0
37,37,10,33,0,0
38,38,10,10,0,0
39,39,10,10,0,0
40,40,10,18,0,0
41,41,11,23,0,0
42,42,11,24,0,0
43,43,11,15,0,0
44,44,11,24,0,0
45,45,12,42,0,0
46,46,12,14,0,0
47,47,12,8,0,0
48,48,12,15,0,0
49,49,13,28,0,0
50,50,13,17,0,0
51,51,13,12,0,0
52,52,13,26,0,0
53,53,14,26,0,0
54,54,14,17,0,0
55,55,14,17,0,0
56,56,14,45,0,1
57,57,15,34,0,1
58,58,15,13,0,0
59,59,15,8,0,0
60,60,15,33,1,1
61,61,16,31,0,1
62,62,16,20,0,0
63,63,16,17,0,0
64,64,16,32,1,0
65,65,17,28,1,0
66,66,17,13,0,0
67,67,17,13,0,0
68,68,17,33,0,0
69,69,18,36,1,1
70,70,18,22,1,0
71,71,18,21,0,0
72,72,18,28,0,0
73,73,19,28,0,0
74,74,19,9,0,0
75,75,19,15,0,0
76,76,19,49,1,1
77,77,20,37,0,0
78,78,20,22,0,0
79,79,20,11,0,0
80,80,20,19,1,0
81,81,21,18,0,0
82,82,21,18,0,0
83,83,21,26,1,0
84,84,21,43,0,1
85,85,22,23,0,0
86,86,22,22,0,0
87,87,22,10,0,0
88,88,22,29,0,0
89,89,23,34,0,0
90,90,23,16,1,0
91,91,23,8,0,0
92,92,23,39,0,0
93,93,24,28,0,0
94,94,24,29,1,0
95,95,24,8,0,0
96,96,24,17,0,0
97,97,25,25,0,0
98,98,25,14,0,0
99,99,25,19,0,0
100,100,25,35,0,0
101,101,26,21,1,0
102,102,26,30,1,0
103,103,26,28,0,1
104,104,26,31,1,0
105,105,27,49,1,1
106,106,27,27,1,0
107,107,27,9,0,0
108,108,27,27,0,0
109,109,28,27,0,0
110,110,28,30,0,1
111,111,28,21,0,0
112,112,28,17,0,0
113,113,29,21,0,0
114,114,29,25,0,0
115,115,29,23,0,0
116,116,29,31,1,1
117,117,30,30,0,0
118,118,30,33,1,0
119,119,30,18,0,0
120,120,30,27,0,0
121,121,31,22,1,0
122,122,31,13,0,0
123,123,31,25,0,0
124,124,31,25,0,0
125,125,32,21,0,0
126,126,32,35,1,1
127,127,32,15,0,0
128,128,32,38,0,1
129,129,33,15,0,0
130,130,33,39,1,1
131,131,33,22,0,0
132,132,33,27,0,0
133,133,34,21,0,0
134,134,34,33,1,0
135,135,34,18,0,0
136,136,34,12,0,0
137,137,35,29,0,0
138,138,35,20,1,0
139,139,35,21,0,0
140,140,35,14,0,0
141,141,1,16,0,0
142,142,1,23,1,0
143,143,1,30,1,0
144,144,1,28,1,0
145,145,2,14,0,0
146,146,2,33,0,0
147,147,2,23,0,0
148,148,2,26,0,0
149,149,3,18,0,0
150,150,3,25,0,0
151,151,3,40,1,0
152,152,3,22,0,0
153,153,4,35,1,1
154,154,4,17,1,0
155,155,4,19,0,0
156,156,4,23,1,0
157,157,5,29,0,0
158,158,5,21,0,0
159,159,5,21,0,0
160,160,5,26,0,0
161,161,6,23,0,0
162,162,6,16,0,0
163,163,6,17,0,0
164,164,6,31,1,0
165,165,7,42,1,1
166,166,7,21,0,0
167,167,7,46,1,1
168,168,7,22,0,0
169,169,8,39,0,0
170,170,8,35,0,0
171,171,8,22,1,0
172,172,8,16,0,0
173,173,9,36,1,0
174,174,9,15,0,0
175,175,9,19,0,0
