id,receivingId,flowerId,shippedQuantity,actualReceivedQuantity,acceptedQuantity,unusableQuantity,unusableNotes
1,1,1,15,15,14,1,Rejected at QC: damaged or below grade
2,2,1,16,16,16,0,
3,3,1,15,15,14,1,Rejected at QC: damaged or below grade
4,4,1,18,18,17,1,Rejected at QC: damaged or below grade
5,5,1,17,17,16,1,Rejected at QC: damaged or below grade
6,1,2,22,22,21,1,Rejected at QC: damaged or below grade
7,2,2,21,21,20,1,Rejected at QC: damaged or below grade
8,3,2,19,19,18,1,Rejected at QC: damaged or below grade
9,4,2,20,20,18,2,Rejected at QC: damaged or below grade
10,5,2,22,22,21,1,Rejected at QC: damaged or below grade
11,1,3,19,19,17,2,Rejected at QC: damaged or below grade
12,2,3,18,18,17,1,Rejected at QC: damaged or below grade
13,3,3,23,23,21,2,Rejected at QC: damaged or below grade
14,4,3,18,18,17,1,Rejected at QC: damaged or below grade
15,5,3,23,23,22,1,Rejected at QC: damaged or below grade
16,1,4,25,25,24,1,Rejected at QC: damaged or below grade
17,2,4,28,28,27,1,Rejected at QC: damaged or below grade
18,3,4,29,29,27,2,Rejected at QC: damaged or below grade
19,4,4,28,28,27,1,Rejected at QC: damaged or below grade
20,5,4,23,23,23,0,
21,1,5,25,25,24,1,Rejected at QC: damaged or below grade
22,2,5,27,27,26,1,Rejected at QC: damaged or below grade
23,3,5,21,21,20,1,Rejected at QC: damaged or below grade
24,4,5,21,21,20,1,Rejected at QC: damaged or below grade
25,5,5,27,27,26,1,Rejected at QC: damaged or below grade
26,1,6,17,17,16,1,Rejected at QC: damaged or below grade
27,2,6,20,20,19,1,Rejected at QC: damaged or below grade
28,3,6,19,19,18,1,Rejected at QC: damaged or below grade
29,4,6,21,21,20,1,Rejected at QC: damaged or below grade
30,5,6,22,22,21,1,Rejected at QC: damaged or below grade
31,1,7,23,23,22,1,Rejected at QC: damaged or below grade
32,2,7,21,21,20,1,Rejected at QC: damaged or below grade
33,3,7,20,20,20,0,
34,4,7,24,24,23,1,Rejected at QC: damaged or below grade
35,5,7,20,20,19,1,Rejected at QC: damaged or below grade
36,1,8,19,19,18,1,Rejected at QC: damaged or below grade
37,2,8,17,17,16,1,Rejected at QC: damaged or below grade
38,3,8,15,15,14,1,Rejected at QC: damaged or below grade
39,4,8,22,22,20,2,Rejected at QC: damaged or below grade
40,5,8,16,16,16,0,
41,1,9,18,18,17,1,Rejected at QC: damaged or below grade
42,2,9,18,18,17,1,Rejected at QC: damaged or below grade
43,3,9,17,17,16,1,Rejected at QC: damaged or below grade
44,4,9,18,18,18,0,
45,5,9,15,15,14,1,Rejected at QC: damaged or below grade
46,1,10,14,14,14,0,
47,2,10,17,17,16,1,Rejected at QC: damaged or below grade
48,3,10,14,14,13,1,Rejected at QC: damaged or below grade
49,4,10,13,13,12,1,Rejected at QC: damaged or below grade
50,5,10,17,17,16,1,Rejected at QC: damaged or below grade
51,1,11,17,17,16,1,Rejected at QC: damaged or below grade
52,2,11,21,21,20,1,Rejected at QC: damaged or below grade
53,3,11,18,18,17,1,Rejected at QC: damaged or below grade
54,4,11,20,20,19,1,Rejected at QC: damaged or below grade
55,5,11,15,15,14,1,Rejected at QC: damaged or below grade
56,1,12,18,18,17,1,Rejected at QC: damaged or below grade
57,2,12,16,16,15,1,Rejected at QC: damaged or below grade
58,3,12,18,18,17,1,Rejected at QC: damaged or below grade
59,4,12,15,15,14,1,Rejected at QC: damaged or below grade
60,5,12,17,17,16,1,Rejected at QC: damaged or below grade
61,1,13,18,18,17,1,Rejected at QC: damaged or below grade
62,2,13,15,15,14,1,Rejected at QC: damaged or below grade
63,3,13,17,17,16,1,Rejected at QC: damaged or below grade
64,4,13,20,20,19,1,Rejected at QC: damaged or below grade
65,5,13,17,17,17,0,
66,1,14,23,23,21,2,Rejected at QC: damaged or below grade
67,2,14,25,25,24,1,Rejected at QC: damaged or below grade
